"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 00:00","2018","03","01","00:00","2.8","","0.4","","84","","33","","18","","16.1","","100.39","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 01:00","2018","03","01","01:00","2.7","","-0.1","","82","","","M","11","","16.1","","100.43","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 02:00","2018","03","01","02:00","2.5","","-0.5","","81","","33","","17","","16.1","","100.47","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 03:00","2018","03","01","03:00","2.6","","-0.3","","81","","35","","11","","16.1","","100.50","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 04:00","2018","03","01","04:00","2.1","","-0.8","","81","","34","","11","","16.1","","100.47","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 05:00","2018","03","01","05:00","2.3","","-0.7","","81","","1","","8","","16.1","","100.51","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 06:00","2018","03","01","06:00","2.2","","-1.1","","79","","3","","13","","16.1","","100.51","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 07:00","2018","03","01","07:00","1.3","","-1.8","","80","","4","","22","","16.1","","100.57","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 08:00","2018","03","01","08:00","1.5","","-1.7","","79","","5","","18","","16.1","","100.61","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 09:00","2018","03","01","09:00","2.0","","-1.1","","80","","6","","17","","16.1","","100.63","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 10:00","2018","03","01","10:00","3.3","","-1.0","","74","","6","","24","","16.1","","100.60","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 11:00","2018","03","01","11:00","3.0","","-1.2","","74","","6","","30","","16.1","","100.50","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 12:00","2018","03","01","12:00","2.5","","-1.1","","77","","6","","32","","16.1","","100.47","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 13:00","2018","03","01","13:00","2.5","","-1.1","","77","","7","","35","","16.1","","100.32","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 14:00","2018","03","01","14:00","2.2","","-0.9","","80","","8","","28","","16.1","","100.26","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 15:00","2018","03","01","15:00","2.1","","-1.0","","80","","7","","28","","16.1","","100.16","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 16:00","2018","03","01","16:00","2.1","","-0.8","","81","","6","","22","","16.1","","100.11","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 17:00","2018","03","01","17:00","2.0","","-0.8","","82","","6","","28","","16.1","","100.08","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 18:00","2018","03","01","18:00","2.3","","-0.6","","81","","5","","24","","16.1","","100.01","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 19:00","2018","03","01","19:00","2.9","","-1.5","","73","","4","","15","","16.1","","99.99","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 20:00","2018","03","01","20:00","4.3","","-2.8","","60","","36","","21","","16.1","","99.90","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 21:00","2018","03","01","21:00","4.1","","-4.1","","55","","5","","32","","16.1","","99.91","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 22:00","2018","03","01","22:00","1.9","","-2.3","","74","","6","","39","","11.3","","99.95","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-01 23:00","2018","03","01","23:00","0.7","","-0.9","","89","","1","","17","","2.0","","99.97","","","","","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-02 00:00","2018","03","02","00:00","0.3","","-1.0","","91","","36","","22","","1.6","","99.96","","","","","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-02 01:00","2018","03","02","01:00","0.2","","-1.1","","91","","36","","30","","2.0","","100.01","","","","","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-02 02:00","2018","03","02","02:00","0.3","","-1.8","","86","","36","","22","","4.0","","100.11","","","","","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-02 03:00","2018","03","02","03:00","0.3","","-3.0","","79","","2","","21","","8.1","","100.20","","","","","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-03-02 04:00","2018","03","02","04:00","0.0","","-2.4","","84","","32","","11","","16.1","","100.34","","","","-4","","Snow"
