"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 00:00","2017","12","01","00:00","5.9","","1.3","","72","","27","","18","","16.1","","100.73","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 01:00","2017","12","01","01:00","5.7","","0.8","","71","","28","","17","","16.1","","100.81","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 02:00","2017","12","01","02:00","5.4","","1.0","","73","","27","","17","","16.1","","100.90","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 03:00","2017","12","01","03:00","5.1","","0.8","","74","","27","","11","","16.1","","101.01","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 04:00","2017","12","01","04:00","5.5","","-0.4","","66","","29","","21","","16.1","","101.06","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 05:00","2017","12","01","05:00","5.2","","0.0","","69","","29","","15","","16.1","","101.16","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 06:00","2017","12","01","06:00","5.0","","0.2","","71","","27","","8","","16.1","","101.20","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 07:00","2017","12","01","07:00","4.9","","0.3","","72","","27","","11","","16.1","","101.29","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 08:00","2017","12","01","08:00","5.1","","-0.2","","69","","28","","13","","16.1","","101.36","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 09:00","2017","12","01","09:00","5.6","","-0.2","","66","","27","","15","","16.1","","101.39","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 10:00","2017","12","01","10:00","6.1","","-2.1","","56","","28","","9","","16.1","","101.46","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 11:00","2017","12","01","11:00","6.2","","-2.7","","53","","29","","15","","16.1","","101.47","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 12:00","2017","12","01","12:00","6.5","","-2.7","","52","","27","","17","","16.1","","101.44","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 13:00","2017","12","01","13:00","6.3","","-2.7","","52","","29","","13","","16.1","","101.43","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 14:00","2017","12","01","14:00","7.5","","-1.8","","52","","24","","11","","16.1","","101.44","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 15:00","2017","12","01","15:00","5.9","","-0.4","","64","","16","","9","","16.1","","101.44","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 16:00","2017","12","01","16:00","5.7","","-1.5","","60","","16","","9","","16.1","","101.41","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 17:00","2017","12","01","17:00","4.9","","-0.9","","66","","16","","11","","16.1","","101.43","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 18:00","2017","12","01","18:00","4.4","","1.1","","79","","","M","4","","16.1","","101.49","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 19:00","2017","12","01","19:00","4.4","","1.2","","80","","16","","8","","16.1","","101.52","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-12-01 20:00","2017","12","01","20:00","4.3","","0.5","","76","","13","","4","","16.1","","101.50","","","","","","NA"
