"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 00:00","2020","09","01","00:00","19.7","","18.0","","90","","","M","4","","16.1","","100.42","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 01:00","2020","09","01","01:00","20.4","","18.4","","88","","","","0","","16.1","","100.41","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 02:00","2020","09","01","02:00","20.0","","18.3","","90","","","","0","","16.1","","100.41","","26","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 03:00","2020","09","01","03:00","20.0","","18.5","","91","","","M","4","","16.1","","100.42","","26","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 04:00","2020","09","01","04:00","19.8","","18.8","","94","","","M","4","","16.1","","100.42","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 05:00","2020","09","01","05:00","20.1","","18.8","","92","","17","","5","","16.1","","100.45","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 06:00","2020","09","01","06:00","19.8","","18.9","","94","","","M","4","","16.1","","100.48","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 07:00","2020","09","01","07:00","20.2","","18.9","","92","","","","0","","16.1","","100.51","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 08:00","2020","09","01","08:00","21.2","","19.1","","88","","21","","5","","16.1","","100.55","","28","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 09:00","2020","09","01","09:00","21.9","","19.3","","85","","20","","8","","16.1","","100.54","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 10:00","2020","09","01","10:00","22.5","","19.4","","82","","19","","8","","16.1","","100.57","","30","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 11:00","2020","09","01","11:00","24.0","","19.9","","78","","16","","13","","16.1","","100.50","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 12:00","2020","09","01","12:00","24.7","","20.4","","77","","18","","11","","16.1","","100.47","","33","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 13:00","2020","09","01","13:00","24.8","","20.1","","75","","7","","11","","16.1","","100.42","","32","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 14:00","2020","09","01","14:00","24.7","","21.0","","80","","7","","15","","16.1","","100.37","","33","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 15:00","2020","09","01","15:00","24.8","","21.1","","79","","9","","17","","16.1","","100.41","","33","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 16:00","2020","09","01","16:00","23.9","","20.5","","81","","8","","15","","16.1","","100.37","","32","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 17:00","2020","09","01","17:00","23.1","","20.2","","83","","7","","15","","16.1","","100.35","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 18:00","2020","09","01","18:00","22.5","","20.1","","86","","7","","18","","16.1","","100.30","","30","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 19:00","2020","09","01","19:00","21.9","","20.0","","89","","8","","11","","16.1","","100.30","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-09-01 20:00","2020","09","01","20:00","21.5","","20.3","","93","","8","","9","","16.1","","100.29","","29","","","","NA"
