"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 00:00","2020","08","01","00:00","20.3","","17.0","","81","","26","","11","","16.1","","100.45","","26","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 01:00","2020","08","01","01:00","20.4","","17.2","","81","","27","","5","","16.1","","100.42","","26","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 02:00","2020","08","01","02:00","19.2","","17.2","","88","","27","","8","","16.1","","100.41","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 03:00","2020","08","01","03:00","19.1","","17.1","","88","","29","","5","","16.1","","100.38","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 04:00","2020","08","01","04:00","18.5","","17.0","","91","","","","0","","16.1","","100.39","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 05:00","2020","08","01","05:00","18.2","","16.9","","92","","18","","4","","16.1","","100.41","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 06:00","2020","08","01","06:00","18.8","","17.6","","93","","18","","4","","16.1","","100.44","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 07:00","2020","08","01","07:00","22.8","","17.5","","72","","11","","8","","11.3","","100.48","","28","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 08:00","2020","08","01","08:00","22.6","","16.9","","70","","9","","13","","16.1","","100.51","","28","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 09:00","2020","08","01","09:00","22.8","","18.5","","76","","8","","13","","16.1","","100.54","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 10:00","2020","08","01","10:00","23.1","","19.6","","80","","8","","13","","16.1","","100.55","","30","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 11:00","2020","08","01","11:00","23.7","","20.7","","83","","7","","13","","16.1","","100.52","","32","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 12:00","2020","08","01","12:00","25.0","","20.6","","76","","8","","13","","16.1","","100.48","","33","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 13:00","2020","08","01","13:00","25.5","","19.2","","68","","8","","18","","16.1","","100.43","","32","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 14:00","2020","08","01","14:00","25.7","","19.5","","68","","7","","24","","16.1","","100.37","","33","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 15:00","2020","08","01","15:00","25.4","","18.7","","66","","7","","22","","16.1","","100.32","","32","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 16:00","2020","08","01","16:00","24.3","","19.1","","72","","7","","24","","16.1","","100.24","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 17:00","2020","08","01","17:00","24.3","","19.0","","72","","7","","21","","16.1","","100.21","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 18:00","2020","08","01","18:00","23.9","","19.8","","77","","6","","17","","16.1","","100.20","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 19:00","2020","08","01","19:00","23.0","","20.8","","87","","8","","22","","16.1","","100.21","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 20:00","2020","08","01","20:00","24.2","","18.8","","71","","14","","15","","16.1","","100.25","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 21:00","2020","08","01","21:00","23.5","","19.3","","77","","12","","5","","16.1","","100.26","","31","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 22:00","2020","08","01","22:00","23.3","","19.6","","79","","6","","9","","16.1","","100.21","","31","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-01 23:00","2020","08","01","23:00","23.5","","20.1","","81","","8","","11","","14.5","","100.16","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 00:00","2020","08","02","00:00","23.5","","20.9","","85","","11","","13","","9.7","","100.09","","32","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 01:00","2020","08","02","01:00","20.8","","19.7","","93","","7","","11","","12.9","","100.02","","28","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 02:00","2020","08","02","02:00","21.7","","20.0","","90","","11","","21","","9.7","","99.95","","29","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 03:00","2020","08","02","03:00","20.8","","20.2","","96","","8","","21","","14.5","","99.88","","29","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 04:00","2020","08","02","04:00","20.9","","20.3","","96","","7","","30","","4.8","","99.81","","29","","","","Moderate Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 05:00","2020","08","02","05:00","20.4","","19.9","","97","","7","","26","","16.1","","99.76","","28","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 06:00","2020","08","02","06:00","20.7","","20.2","","97","","6","","32","","16.1","","99.67","","28","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 07:00","2020","08","02","07:00","20.8","","20.3","","97","","6","","22","","11.3","","99.60","","29","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 08:00","2020","08","02","08:00","22.1","","20.9","","93","","8","","15","","16.1","","99.53","","30","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 09:00","2020","08","02","09:00","22.6","","21.8","","95","","17","","15","","16.1","","99.51","","32","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 10:00","2020","08","02","10:00","23.3","","22.1","","93","","17","","18","","16.1","","99.45","","33","","","","Thunderstorms,Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 11:00","2020","08","02","11:00","24.2","","22.5","","90","","18","","22","","16.1","","99.44","","34","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 12:00","2020","08","02","12:00","22.4","","21.7","","96","","19","","21","","16.1","","99.41","","31","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 13:00","2020","08","02","13:00","24.3","","22.1","","87","","19","","22","","16.1","","99.37","","34","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 14:00","2020","08","02","14:00","23.0","","21.7","","93","","21","","34","","12.9","","99.37","","32","","","","Moderate Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 15:00","2020","08","02","15:00","24.7","","21.1","","80","","21","","34","","16.1","","99.37","","33","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 16:00","2020","08","02","16:00","23.3","","20.4","","84","","20","","26","","16.1","","99.40","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 17:00","2020","08","02","17:00","23.5","","20.1","","81","","20","","26","","16.1","","99.40","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 18:00","2020","08","02","18:00","22.6","","20.2","","86","","20","","34","","16.1","","99.38","","30","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 19:00","2020","08","02","19:00","22.1","","20.1","","88","","19","","28","","16.1","","99.38","","30","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 20:00","2020","08","02","20:00","21.4","","20.0","","92","","29","","18","","8.1","","99.47","","29","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 21:00","2020","08","02","21:00","21.5","","19.6","","89","","27","","24","","16.1","","99.68","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 22:00","2020","08","02","22:00","20.5","","18.1","","86","","28","","28","","16.1","","99.87","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-02 23:00","2020","08","02","23:00","20.6","","17.5","","82","","30","","28","","16.1","","100.03","","26","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-03 00:00","2020","08","03","00:00","20.6","","17.5","","82","","28","","26","","16.1","","100.10","","26","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-03 01:00","2020","08","03","01:00","20.5","","17.2","","81","","28","","21","","16.1","","100.19","","26","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-03 02:00","2020","08","03","02:00","20.1","","16.6","","80","","29","","18","","16.1","","100.27","","25","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-03 03:00","2020","08","03","03:00","19.6","","16.5","","82","","26","","17","","16.1","","100.38","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-03 04:00","2020","08","03","04:00","19.4","","16.6","","84","","28","","15","","16.1","","100.42","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-03 05:00","2020","08","03","05:00","18.9","","16.5","","86","","27","","9","","16.1","","100.47","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-03 06:00","2020","08","03","06:00","18.8","","18.2","","96","","23","","11","","16.1","","100.54","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-03 07:00","2020","08","03","07:00","19.5","","17.8","","90","","23","","9","","16.1","","100.60","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-03 08:00","2020","08","03","08:00","20.4","","18.5","","89","","21","","11","","16.1","","100.65","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-03 09:00","2020","08","03","09:00","20.9","","18.4","","85","","19","","11","","16.1","","100.65","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-03 10:00","2020","08","03","10:00","20.7","","18.7","","88","","18","","13","","16.1","","100.67","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-03 11:00","2020","08","03","11:00","21.9","","18.0","","78","","18","","11","","16.1","","100.68","","28","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-03 12:00","2020","08","03","12:00","22.9","","18.1","","74","","8","","13","","16.1","","100.62","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-08-03 13:00","2020","08","03","13:00","22.6","","18.1","","75","","7","","15","","16.1","","100.60","","29","","","","NA"
