"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 00:00","2017","01","01","00:00","1.5","","-3.6","","69","","26","","39","","16.1","","99.81","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 01:00","2017","01","01","01:00","1.5","","-3.9","","67","","27","","35","","16.1","","100.01","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 02:00","2017","01","01","02:00","1.0","","-4.3","","68","","26","","32","","16.1","","100.14","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 03:00","2017","01","01","03:00","1.2","","-4.3","","67","","26","","37","","16.1","","100.32","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 04:00","2017","01","01","04:00","1.3","","-4.4","","66","","26","","28","","16.1","","100.48","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 05:00","2017","01","01","05:00","1.0","","-4.1","","69","","23","","30","","16.1","","100.55","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 06:00","2017","01","01","06:00","0.7","","-4.4","","69","","24","","35","","16.1","","100.65","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 07:00","2017","01","01","07:00","0.0","","-4.8","","70","","24","","28","","16.1","","100.79","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 08:00","2017","01","01","08:00","-0.3","","-5.3","","69","","25","","26","","16.1","","100.93","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 09:00","2017","01","01","09:00","-0.1","","-5.5","","67","","27","","26","","16.1","","101.06","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 10:00","2017","01","01","10:00","1.0","","-5.2","","63","","25","","22","","16.1","","101.18","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 11:00","2017","01","01","11:00","1.9","","-5.3","","59","","25","","26","","16.1","","101.27","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 12:00","2017","01","01","12:00","2.6","","-5.3","","56","","23","","18","","16.1","","101.22","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 13:00","2017","01","01","13:00","2.6","","-5.8","","54","","23","","18","","16.1","","101.23","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 14:00","2017","01","01","14:00","3.0","","-5.5","","54","","23","","17","","16.1","","101.21","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 15:00","2017","01","01","15:00","2.9","","-5.4","","54","","23","","15","","16.1","","101.29","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 16:00","2017","01","01","16:00","2.8","","-4.9","","57","","23","","21","","16.1","","101.38","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 17:00","2017","01","01","17:00","1.8","","-4.9","","61","","22","","15","","16.1","","101.45","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 18:00","2017","01","01","18:00","2.2","","-4.6","","61","","23","","18","","16.1","","101.59","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 19:00","2017","01","01","19:00","1.2","","-3.5","","71","","25","","11","","16.1","","101.60","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 20:00","2017","01","01","20:00","1.6","","-2.2","","76","","25","","18","","16.1","","101.66","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 21:00","2017","01","01","21:00","0.7","","-3.4","","74","","24","","15","","16.1","","101.73","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 22:00","2017","01","01","22:00","0.9","","-2.9","","76","","23","","11","","16.1","","101.76","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-01 23:00","2017","01","01","23:00","0.6","","-3.2","","76","","22","","8","","16.1","","101.77","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-02 00:00","2017","01","02","00:00","0.9","","-2.6","","77","","","","0","","16.1","","101.75","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-01-02 01:00","2017","01","02","01:00","-0.5","","-2.7","","85","","3","","4","","16.1","","101.77","","","","-2","","NA"
