"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-04-01 00:00","2018","04","01","00:00","3.1","","-1.3","","73","","30","","28","","16.1","","100.11","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-04-01 01:00","2018","04","01","01:00","0.5","","-4.7","","68","","31","","41","","16.1","","100.27","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-04-01 02:00","2018","04","01","02:00","-0.4","","-7.2","","60","","30","","39","","16.1","","100.43","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-04-01 03:00","2018","04","01","03:00","-0.6","","-8.3","","56","","31","","26","","16.1","","100.58","","","","-7","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-04-01 04:00","2018","04","01","04:00","-0.9","","-8.6","","56","","29","","26","","16.1","","100.72","","","","-7","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-04-01 05:00","2018","04","01","05:00","-1.7","","-10.1","","53","","30","","24","","16.1","","100.84","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-04-01 06:00","2018","04","01","06:00","-2.3","","-11.0","","52","","31","","24","","16.1","","100.95","","","","-9","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-04-01 07:00","2018","04","01","07:00","-1.9","","-10.0","","54","","28","","18","","16.1","","101.03","","","","-7","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-04-01 08:00","2018","04","01","08:00","-1.0","","-8.5","","57","","27","","22","","16.1","","101.07","","","","-7","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-04-01 09:00","2018","04","01","09:00","0.1","","-9.5","","49","","27","","32","","16.1","","101.09","","","","","","NA"
