"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 00:00","2017","07","01","00:00","18.1","","17.0","","93","","19","","5","","11.3","","100.18","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 01:00","2017","07","01","01:00","17.7","","17.2","","97","","21","","8","","6.4","","100.09","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 02:00","2017","07","01","02:00","18.5","","18.0","","97","","","M","4","","9.7","","100.03","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 03:00","2017","07","01","03:00","18.1","","17.6","","97","","","M","4","","16.1","","100.03","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 04:00","2017","07","01","04:00","17.8","","17.3","","97","","","M","4","","9.7","","99.98","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 05:00","2017","07","01","05:00","16.9","","16.4","","97","","","M","4","","9.7","","100.02","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 06:00","2017","07","01","06:00","17.4","","17.1","","98","","30","","5","","16.1","","100.01","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 07:00","2017","07","01","07:00","18.0","","17.5","","97","","","","0","","16.1","","100.01","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 08:00","2017","07","01","08:00","18.6","","17.9","","96","","","","0","","16.1","","100.05","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 09:00","2017","07","01","09:00","18.8","","18.0","","95","","","M","4","","16.1","","100.02","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 10:00","2017","07","01","10:00","19.3","","18.1","","93","","19","","8","","14.5","","100.01","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 11:00","2017","07","01","11:00","18.8","","17.8","","94","","20","","11","","16.1","","100.00","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 12:00","2017","07","01","12:00","20.5","","18.6","","88","","22","","8","","12.9","","99.98","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 13:00","2017","07","01","13:00","20.7","","18.1","","85","","21","","9","","16.1","","99.94","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 14:00","2017","07","01","14:00","19.8","","17.0","","84","","25","","8","","16.1","","99.96","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 15:00","2017","07","01","15:00","17.1","","15.5","","90","","18","","18","","16.1","","99.97","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 16:00","2017","07","01","16:00","15.9","","15.0","","94","","24","","9","","14.5","","100.00","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 17:00","2017","07","01","17:00","15.3","","14.8","","97","","25","","13","","16.1","","100.01","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 18:00","2017","07","01","18:00","16.0","","14.8","","93","","24","","11","","16.1","","100.03","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 19:00","2017","07","01","19:00","16.0","","14.6","","91","","22","","24","","16.1","","100.07","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 20:00","2017","07","01","20:00","14.9","","14.0","","94","","25","","11","","16.1","","100.12","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 21:00","2017","07","01","21:00","16.1","","15.2","","94","","25","","15","","16.1","","100.23","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 22:00","2017","07","01","22:00","19.6","","17.3","","87","","33","","9","","16.1","","100.32","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-01 23:00","2017","07","01","23:00","19.1","","15.0","","77","","30","","15","","14.5","","100.37","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 00:00","2017","07","02","00:00","18.4","","13.7","","74","","30","","15","","16.1","","100.41","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 01:00","2017","07","02","01:00","16.5","","13.6","","83","","27","","9","","16.1","","100.42","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 02:00","2017","07","02","02:00","14.5","","12.9","","90","","26","","8","","16.1","","100.43","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 03:00","2017","07","02","03:00","13.9","","12.8","","93","","24","","9","","16.1","","100.45","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 04:00","2017","07","02","04:00","14.1","","13.2","","94","","27","","9","","16.1","","100.46","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 05:00","2017","07","02","05:00","12.9","","12.3","","96","","","M","4","","14.5","","100.49","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 06:00","2017","07","02","06:00","13.5","","12.9","","96","","23","","5","","16.1","","100.54","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 07:00","2017","07","02","07:00","15.3","","14.0","","92","","23","","8","","16.1","","100.59","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 08:00","2017","07","02","08:00","18.3","","14.3","","77","","24","","5","","16.1","","100.59","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 09:00","2017","07","02","09:00","16.9","","14.6","","86","","20","","11","","16.1","","100.60","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 10:00","2017","07","02","10:00","17.5","","13.6","","78","","20","","15","","16.1","","100.60","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 11:00","2017","07","02","11:00","20.1","","14.9","","72","","19","","11","","16.1","","100.59","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 12:00","2017","07","02","12:00","21.5","","14.3","","63","","18","","9","","16.1","","100.53","","25","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 13:00","2017","07","02","13:00","21.8","","15.3","","66","","11","","8","","16.1","","100.41","","26","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 14:00","2017","07","02","14:00","22.8","","16.1","","65","","10","","8","","16.1","","100.42","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 15:00","2017","07","02","15:00","23.7","","16.7","","64","","","M","4","","16.1","","100.38","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 16:00","2017","07","02","16:00","26.7","","15.0","","48","","26","","30","","16.1","","100.34","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 17:00","2017","07","02","17:00","24.2","","14.8","","55","","26","","22","","16.1","","100.33","","28","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 18:00","2017","07","02","18:00","19.9","","13.9","","68","","25","","13","","16.1","","100.33","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 19:00","2017","07","02","19:00","20.4","","14.3","","67","","25","","15","","16.1","","100.32","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 20:00","2017","07","02","20:00","21.5","","14.4","","64","","35","","17","","16.1","","100.39","","25","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 21:00","2017","07","02","21:00","20.6","","14.6","","68","","33","","13","","16.1","","100.42","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 22:00","2017","07","02","22:00","19.9","","15.0","","73","","32","","15","","16.1","","100.48","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-02 23:00","2017","07","02","23:00","19.2","","15.1","","77","","28","","9","","16.1","","100.55","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-03 00:00","2017","07","03","00:00","16.6","","14.5","","87","","22","","9","","16.1","","100.58","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-07-03 01:00","2017","07","03","01:00","15.9","","14.3","","90","","","","0","","16.1","","100.63","","","","","","NA"
