"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 00:00","2018","07","01","00:00","21.5","","19.5","","88","","23","","11","","16.1","","100.51","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 01:00","2018","07","01","01:00","22.4","","20.2","","87","","","M","4","","16.1","","100.65","","30","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 02:00","2018","07","01","02:00","22.2","","20.3","","89","","","","0","","16.1","","100.67","","30","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 03:00","2018","07","01","03:00","21.6","","20.1","","91","","7","","5","","16.1","","100.64","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 04:00","2018","07","01","04:00","21.4","","20.2","","93","","","","0","","9.7","","100.62","","29","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 05:00","2018","07","01","05:00","21.0","","20.0","","94","","","","0","","8.1","","100.65","","29","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 06:00","2018","07","01","06:00","22.3","","20.8","","91","","","M","4","","12.9","","100.67","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 07:00","2018","07","01","07:00","22.5","","21.0","","91","","22","","5","","11.3","","100.69","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 08:00","2018","07","01","08:00","22.5","","21.0","","91","","24","","8","","11.3","","100.70","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 09:00","2018","07","01","09:00","23.4","","21.3","","88","","21","","8","","12.9","","100.69","","32","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 10:00","2018","07","01","10:00","24.2","","21.8","","86","","23","","8","","14.5","","100.69","","33","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 11:00","2018","07","01","11:00","26.3","","22.7","","80","","18","","21","","16.1","","100.61","","36","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 12:00","2018","07","01","12:00","27.6","","23.1","","76","","18","","21","","16.1","","100.57","","38","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 13:00","2018","07","01","13:00","29.6","","23.3","","68","","18","","18","","16.1","","100.54","","40","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 14:00","2018","07","01","14:00","29.5","","22.9","","67","","18","","17","","16.1","","100.51","","40","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 15:00","2018","07","01","15:00","28.1","","22.2","","70","","18","","18","","16.1","","100.49","","38","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 16:00","2018","07","01","16:00","27.5","","20.8","","66","","19","","22","","16.1","","100.44","","36","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 17:00","2018","07","01","17:00","28.0","","19.9","","61","","19","","15","","16.1","","100.39","","35","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 18:00","2018","07","01","18:00","25.7","","20.2","","71","","24","","8","","16.1","","100.38","","33","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 19:00","2018","07","01","19:00","26.1","","20.2","","70","","20","","15","","16.1","","100.38","","34","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 20:00","2018","07","01","20:00","24.8","","19.9","","74","","25","","4","","16.1","","100.38","","32","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 21:00","2018","07","01","21:00","24.7","","20.1","","75","","","M","4","","16.1","","100.42","","32","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 22:00","2018","07","01","22:00","24.9","","20.7","","77","","22","","5","","16.1","","100.46","","33","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-01 23:00","2018","07","01","23:00","24.8","","20.5","","76","","","M","4","","16.1","","100.46","","33","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-02 00:00","2018","07","02","00:00","24.5","","20.1","","76","","","","0","","16.1","","100.45","","32","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-02 01:00","2018","07","02","01:00","23.9","","20.1","","79","","","","0","","16.1","","100.40","","32","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-02 02:00","2018","07","02","02:00","23.4","","20.0","","81","","","","0","","16.1","","100.37","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-02 03:00","2018","07","02","03:00","23.4","","20.4","","83","","","","0","","16.1","","100.37","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-02 04:00","2018","07","02","04:00","22.7","","20.5","","87","","","M","4","","16.1","","100.37","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-02 05:00","2018","07","02","05:00","22.9","","20.6","","87","","","M","4","","16.1","","100.41","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-02 06:00","2018","07","02","06:00","23.2","","21.0","","87","","25","","5","","16.1","","100.42","","32","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-02 07:00","2018","07","02","07:00","23.7","","21.3","","86","","25","","8","","16.1","","100.46","","32","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-07-02 08:00","2018","07","02","08:00","24.0","","21.2","","84","","22","","9","","16.1","","100.47","","33","","","","NA"
