"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 00:00","2017","05","01","00:00","5.0","","4.1","","94","","6","","28","","12.9","","100.32","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 01:00","2017","05","01","01:00","5.2","","4.3","","94","","7","","28","","14.5","","100.14","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 02:00","2017","05","01","02:00","6.0","","5.1","","94","","6","","28","","16.1","","100.00","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 03:00","2017","05","01","03:00","6.3","","5.3","","93","","4","","15","","16.1","","100.07","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 04:00","2017","05","01","04:00","6.5","","5.8","","95","","7","","26","","16.1","","99.93","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 05:00","2017","05","01","05:00","6.8","","6.2","","96","","7","","30","","16.1","","99.85","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 06:00","2017","05","01","06:00","6.7","","6.1","","96","","7","","22","","16.1","","99.86","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 07:00","2017","05","01","07:00","6.7","","6.3","","97","","7","","22","","8.1","","99.86","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 08:00","2017","05","01","08:00","7.1","","6.5","","96","","7","","21","","16.1","","99.88","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 09:00","2017","05","01","09:00","7.8","","7.1","","95","","7","","26","","16.1","","99.80","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 10:00","2017","05","01","10:00","8.0","","7.3","","95","","7","","35","","16.1","","99.66","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-05-01 11:00","2017","05","01","11:00","7.2","","6.6","","96","","7","","34","","6.4","","99.60","","","","","","Rain,Fog"
