"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-04-01 00:00","2020","04","01","00:00","5.7","","-3.4","","52","","5","","24","","16.1","","100.59","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-04-01 01:00","2020","04","01","01:00","5.6","","-4.6","","48","","5","","22","","16.1","","100.58","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-04-01 02:00","2020","04","01","02:00","5.5","","-4.9","","47","","3","","17","","16.1","","100.53","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-04-01 03:00","2020","04","01","03:00","4.7","","-4.8","","50","","4","","17","","16.1","","100.51","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-04-01 04:00","2020","04","01","04:00","3.8","","-5.9","","49","","5","","21","","16.1","","100.50","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-04-01 05:00","2020","04","01","05:00","3.8","","-6.7","","47","","3","","17","","16.1","","100.50","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-04-01 06:00","2020","04","01","06:00","4.1","","-7.9","","41","","2","","13","","16.1","","100.56","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-04-01 07:00","2020","04","01","07:00","4.1","","-6.9","","45","","1","","13","","16.1","","100.62","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-04-01 08:00","2020","04","01","08:00","4.9","","-6.6","","43","","4","","17","","16.1","","100.64","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-04-01 09:00","2020","04","01","09:00","6.1","","-6.2","","41","","8","","8","","16.1","","100.66","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-04-01 10:00","2020","04","01","10:00","6.7","","-3.0","","50","","13","","13","","16.1","","100.66","","","","","","NA"
