"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-09-01 00:00","2017","09","01","00:00","13.2","","4.9","","57","","35","","11","","16.1","","101.37","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-09-01 01:00","2017","09","01","01:00","13.0","","5.0","","58","","1","","15","","16.1","","101.39","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-09-01 02:00","2017","09","01","02:00","12.4","","4.9","","60","","2","","15","","16.1","","101.41","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-09-01 03:00","2017","09","01","03:00","11.8","","4.8","","62","","36","","17","","16.1","","101.43","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-09-01 04:00","2017","09","01","04:00","11.3","","4.8","","64","","35","","18","","16.1","","101.47","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-09-01 05:00","2017","09","01","05:00","10.9","","4.6","","65","","36","","13","","16.1","","101.48","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-09-01 06:00","2017","09","01","06:00","11.0","","4.7","","65","","35","","18","","16.1","","101.50","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-09-01 07:00","2017","09","01","07:00","11.5","","4.7","","63","","35","","15","","16.1","","101.57","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-09-01 08:00","2017","09","01","08:00","12.8","","4.6","","57","","35","","15","","16.1","","101.59","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-09-01 09:00","2017","09","01","09:00","13.6","","3.4","","50","","1","","11","","16.1","","101.64","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-09-01 10:00","2017","09","01","10:00","14.6","","3.4","","47","","33","","5","","16.1","","101.60","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-09-01 11:00","2017","09","01","11:00","15.1","","4.5","","49","","8","","5","","16.1","","101.56","","","","","","NA"
