"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-10-01 00:00","2018","10","01","00:00","11.1","","9.9","","92","","36","","13","","6.4","","101.56","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-10-01 01:00","2018","10","01","01:00","10.8","","9.6","","92","","2","","9","","9.7","","101.57","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-10-01 02:00","2018","10","01","02:00","10.5","","9.1","","91","","1","","13","","11.3","","101.62","","","","","","Moderate Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-10-01 03:00","2018","10","01","03:00","10.1","","9.0","","93","","4","","21","","12.9","","101.59","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-10-01 04:00","2018","10","01","04:00","9.8","","8.2","","90","","5","","22","","12.9","","101.65","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-10-01 05:00","2018","10","01","05:00","9.9","","8.4","","90","","5","","21","","16.1","","101.73","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-10-01 06:00","2018","10","01","06:00","9.9","","7.0","","82","","3","","22","","16.1","","101.78","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-10-01 07:00","2018","10","01","07:00","9.6","","7.5","","87","","4","","24","","16.1","","101.76","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-10-01 08:00","2018","10","01","08:00","9.6","","7.2","","85","","2","","18","","16.1","","101.88","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-10-01 09:00","2018","10","01","09:00","8.6","","5.9","","83","","1","","22","","16.1","","101.96","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-10-01 10:00","2018","10","01","10:00","9.1","","6.2","","82","","4","","24","","16.1","","101.91","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-10-01 11:00","2018","10","01","11:00","9.5","","5.9","","78","","4","","22","","16.1","","101.93","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-10-01 12:00","2018","10","01","12:00","10.4","","6.2","","75","","4","","18","","16.1","","101.93","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-10-01 13:00","2018","10","01","13:00","10.9","","6.3","","73","","4","","24","","16.1","","101.88","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2018-10-01 14:00","2018","10","01","14:00","11.1","","6.7","","74","","6","","24","","16.1","","101.81","","","","","","NA"
