"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 00:00","2020","02","01","00:00","-1.0","","-3.1","","86","","29","","5","","16.1","","101.08","","","","-3","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 01:00","2020","02","01","01:00","-1.2","","-3.4","","85","","31","","8","","16.1","","101.04","","","","-4","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 02:00","2020","02","01","02:00","-1.2","","-3.4","","85","","31","","5","","16.1","","100.98","","","","-3","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 03:00","2020","02","01","03:00","-1.9","","-3.6","","88","","29","","4","","14.5","","100.95","","","","-3","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 04:00","2020","02","01","04:00","-1.3","","-3.3","","86","","28","","8","","14.5","","100.92","","","","-4","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 05:00","2020","02","01","05:00","-1.1","","-3.8","","82","","30","","4","","16.1","","100.86","","","","-2","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 06:00","2020","02","01","06:00","-1.1","","-3.9","","81","","27","","8","","16.1","","100.81","","","","-4","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 07:00","2020","02","01","07:00","-0.9","","-3.6","","82","","22","","9","","16.1","","100.77","","","","-4","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 08:00","2020","02","01","08:00","-0.6","","-3.2","","83","","23","","9","","16.1","","100.75","","","","-4","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 09:00","2020","02","01","09:00","-0.2","","-2.9","","82","","24","","11","","16.1","","100.69","","","","-4","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 10:00","2020","02","01","10:00","-0.2","","-2.9","","82","","24","","13","","14.5","","100.65","","","","-4","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 11:00","2020","02","01","11:00","0.0","","-2.9","","81","","24","","9","","11.3","","100.58","","","","-3","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 12:00","2020","02","01","12:00","0.3","","-3.1","","78","","23","","11","","14.5","","100.47","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 13:00","2020","02","01","13:00","0.5","","-2.8","","79","","21","","15","","14.5","","100.34","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 14:00","2020","02","01","14:00","1.0","","-3.0","","75","","20","","17","","16.1","","100.18","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 15:00","2020","02","01","15:00","0.6","","-4.4","","70","","20","","18","","16.1","","100.08","","","","","","Rain,Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 16:00","2020","02","01","16:00","-0.1","","-2.6","","83","","20","","13","","4.8","","100.01","","","","-4","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 17:00","2020","02","01","17:00","0.0","","-2.4","","84","","20","","15","","12.9","","99.94","","","","-4","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 18:00","2020","02","01","18:00","-0.4","","-1.8","","90","","19","","15","","3.6","","99.91","","","","-5","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 19:00","2020","02","01","19:00","-0.4","","-1.4","","93","","20","","17","","2.8","","99.87","","","","-5","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 20:00","2020","02","01","20:00","-0.3","","-1.3","","93","","21","","21","","4.0","","99.82","","","","-6","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 21:00","2020","02","01","21:00","-0.1","","-1.3","","92","","21","","21","","9.7","","99.75","","","","-6","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 22:00","2020","02","01","22:00","-0.1","","-1.3","","92","","21","","24","","4.8","","99.65","","","","-6","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-01 23:00","2020","02","01","23:00","0.3","","-1.3","","89","","22","","26","","16.1","","99.60","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 00:00","2020","02","02","00:00","0.5","","-1.3","","88","","23","","24","","16.1","","99.49","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 01:00","2020","02","02","01:00","0.5","","-1.1","","89","","23","","22","","16.1","","99.40","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 02:00","2020","02","02","02:00","0.5","","-1.0","","90","","23","","21","","16.1","","99.35","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 03:00","2020","02","02","03:00","0.5","","-1.0","","90","","24","","18","","12.9","","99.30","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 04:00","2020","02","02","04:00","0.7","","-1.2","","87","","25","","9","","11.3","","99.28","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 05:00","2020","02","02","05:00","1.1","","-1.1","","85","","27","","13","","12.9","","99.22","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 06:00","2020","02","02","06:00","0.9","","-1.7","","83","","25","","24","","16.1","","99.21","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 07:00","2020","02","02","07:00","0.6","","-1.8","","84","","24","","18","","16.1","","99.19","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 08:00","2020","02","02","08:00","1.0","","-1.1","","86","","22","","26","","16.1","","99.10","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 09:00","2020","02","02","09:00","0.3","","-0.4","","95","","22","","22","","2.4","","99.09","","","","","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 10:00","2020","02","02","10:00","0.3","","-0.1","","97","","22","","13","","1.6","","98.98","","","","","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 11:00","2020","02","02","11:00","0.4","","0.1","","98","","20","","18","","1.6","","98.89","","","","","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 12:00","2020","02","02","12:00","0.6","","0.3","","98","","20","","18","","3.2","","98.76","","","","","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 13:00","2020","02","02","13:00","0.7","","0.4","","98","","18","","13","","4.0","","98.62","","","","","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 14:00","2020","02","02","14:00","1.3","","0.6","","95","","17","","11","","11.3","","98.56","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 15:00","2020","02","02","15:00","1.4","","0.7","","95","","16","","9","","12.9","","98.53","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 16:00","2020","02","02","16:00","1.5","","0.6","","94","","14","","8","","16.1","","98.59","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 17:00","2020","02","02","17:00","1.6","","0.9","","95","","19","","4","","11.3","","98.67","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 18:00","2020","02","02","18:00","1.5","","0.9","","96","","24","","4","","4.8","","98.75","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 19:00","2020","02","02","19:00","1.3","","1.0","","98","","24","","4","","4.8","","98.85","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 20:00","2020","02","02","20:00","1.5","","1.2","","98","","23","","9","","6.4","","98.90","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 21:00","2020","02","02","21:00","1.5","","0.8","","95","","22","","11","","8.1","","98.93","","","","","","Rain,Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 22:00","2020","02","02","22:00","1.6","","1.0","","96","","26","","9","","4.8","","99.05","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-02 23:00","2020","02","02","23:00","1.6","","1.2","","97","","23","","11","","4.0","","99.12","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 00:00","2020","02","03","00:00","2.1","","1.4","","95","","23","","24","","4.8","","99.17","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 01:00","2020","02","03","01:00","2.1","","1.4","","95","","23","","22","","6.4","","99.26","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-02-03 02:00","2020","02","03","02:00","2.3","","1.3","","93","","23","","13","","11.3","","99.34","","","","","","NA"
