"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-02-01 00:00","2017","02","01","00:00","-2.6","","-3.6","","93","","29","","5","","3.2","","99.69","","","","-5","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-02-01 01:00","2017","02","01","01:00","-2.9","","-3.9","","93","","28","","11","","4.8","","99.73","","","","-7","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-02-01 02:00","2017","02","01","02:00","-2.7","","-3.8","","92","","27","","9","","4.8","","99.78","","","","-6","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-02-01 03:00","2017","02","01","03:00","-1.6","","-3.0","","90","","26","","18","","14.5","","99.83","","","","-7","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-02-01 04:00","2017","02","01","04:00","-0.4","","-3.8","","78","","24","","35","","16.1","","99.84","","","","-7","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-02-01 05:00","2017","02","01","05:00","-0.3","","-3.6","","78","","24","","39","","16.1","","99.87","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-02-01 06:00","2017","02","01","06:00","-0.1","","-3.0","","81","","23","","32","","16.1","","99.89","","","","-7","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-02-01 07:00","2017","02","01","07:00","0.2","","-3.5","","76","","25","","30","","16.1","","99.97","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-02-01 08:00","2017","02","01","08:00","0.1","","-3.8","","75","","25","","32","","16.1","","100.04","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-02-01 09:00","2017","02","01","09:00","0.4","","-3.6","","75","","25","","30","","16.1","","100.08","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-02-01 10:00","2017","02","01","10:00","1.1","","-3.5","","72","","25","","28","","16.1","","100.15","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-02-01 11:00","2017","02","01","11:00","1.7","","-3.2","","70","","26","","28","","16.1","","100.21","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-02-01 12:00","2017","02","01","12:00","2.3","","-3.8","","64","","26","","34","","16.1","","100.23","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-02-01 13:00","2017","02","01","13:00","2.9","","-6.4","","51","","27","","35","","16.1","","100.23","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-02-01 14:00","2017","02","01","14:00","2.4","","-8.6","","44","","28","","35","","16.1","","100.24","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-02-01 15:00","2017","02","01","15:00","3.0","","-7.0","","48","","27","","26","","16.1","","100.33","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2017-02-01 16:00","2017","02","01","16:00","2.6","","-6.6","","51","","27","","24","","16.1","","100.39","","","","","","NA"
