"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 00:00","2020","03","01","00:00","-4.9","","-9.6","","70","","26","","21","","16.1","","101.02","","","","-12","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 01:00","2020","03","01","01:00","-5.4","","-10.0","","71","","28","","11","","16.1","","101.02","","","","-10","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 02:00","2020","03","01","02:00","-5.4","","-9.3","","74","","29","","11","","16.1","","101.04","","","","-10","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 03:00","2020","03","01","03:00","-5.4","","-10.4","","68","","29","","13","","16.1","","101.01","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 04:00","2020","03","01","04:00","-6.2","","-10.6","","71","","28","","13","","16.1","","101.04","","","","-12","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 05:00","2020","03","01","05:00","-6.2","","-10.3","","73","","31","","9","","16.1","","101.09","","","","-10","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 06:00","2020","03","01","06:00","-6.7","","-10.4","","75","","31","","9","","16.1","","101.12","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 07:00","2020","03","01","07:00","-7.0","","-10.6","","76","","31","","9","","16.1","","101.13","","","","-11","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 08:00","2020","03","01","08:00","-5.7","","-9.6","","74","","28","","8","","16.1","","101.16","","","","-9","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 09:00","2020","03","01","09:00","-3.5","","-8.9","","66","","29","","5","","16.1","","101.15","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 10:00","2020","03","01","10:00","-2.4","","-7.7","","67","","23","","9","","16.1","","101.16","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 11:00","2020","03","01","11:00","-1.0","","-6.3","","68","","22","","11","","16.1","","101.13","","","","-5","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 12:00","2020","03","01","12:00","-0.1","","-5.0","","70","","20","","13","","16.1","","101.10","","","","-4","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 13:00","2020","03","01","13:00","0.5","","-5.2","","66","","20","","22","","16.1","","101.02","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 14:00","2020","03","01","14:00","0.8","","-5.6","","62","","19","","13","","16.1","","100.94","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 15:00","2020","03","01","15:00","1.5","","-4.6","","64","","20","","18","","16.1","","100.88","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 16:00","2020","03","01","16:00","1.5","","-4.0","","67","","18","","18","","16.1","","100.80","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 17:00","2020","03","01","17:00","1.3","","-5.0","","63","","18","","18","","16.1","","100.77","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 18:00","2020","03","01","18:00","1.5","","-5.7","","59","","18","","11","","16.1","","100.72","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 19:00","2020","03","01","19:00","1.7","","-6.1","","56","","14","","13","","16.1","","100.54","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 20:00","2020","03","01","20:00","2.4","","-3.7","","64","","12","","11","","16.1","","100.43","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-03-01 21:00","2020","03","01","21:00","2.8","","-2.6","","68","","9","","11","","16.1","","100.34","","","","","","NA"
